Gene,Ensembl,Gene description,Uniprot,Pathology prognostics - Pancreatic cancer,TAU score - Tissue
LYPLA1,ENSG00000120992,Lysophospholipase 1,['O75608'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.34e-4'}",0.22
MCM4,ENSG00000104738,Minichromosome maintenance complex component 4,['P33991'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.38e-4'}",0.44
ASPM,ENSG00000066279,Assembly factor for spindle microtubules,['Q8IZT6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.40e-4'}",0.86
AHNAK,ENSG00000124942,AHNAK nucleoprotein,['Q09666'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.42e-4'}",0.24
RRAS2,ENSG00000133818,RAS related 2,['P62070'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.44e-4'}",0.21
YES1,ENSG00000176105,"YES proto-oncogene 1, Src family tyrosine kinase",['P07947'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.46e-4'}",0.28
SMAD3,ENSG00000166949,SMAD family member 3,['P84022'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.48e-4'}",0.24
CAPN2,ENSG00000162909,Calpain 2,['P17655'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.50e-4'}",0.18
SH3GLB1,ENSG00000097033,"SH3 domain containing GRB2 like, endophilin B1",['Q9Y371'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.53e-4'}",0.25
TNNT1,ENSG00000105048,"Troponin T1, slow skeletal type",['P13805'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.53e-4'}",0.79
TATDN1,ENSG00000147687,TatD DNase domain containing 1,['Q6P1N9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.53e-4'}",0.22
TTK,ENSG00000112742,TTK protein kinase,['P33981'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.54e-4'}",0.79
ARHGAP18,ENSG00000146376,Rho GTPase activating protein 18,['Q8N392'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.54e-4'}",0.30
KLF5,ENSG00000102554,KLF transcription factor 5,['Q13887'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.55e-4'}",0.47
LAMB3,ENSG00000196878,Laminin subunit beta 3,['Q13751'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.55e-4'}",0.47
PPFIBP1,ENSG00000110841,PPFIA binding protein 1,['Q86W92'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.56e-4'}",0.26
SPTY2D1,ENSG00000179119,SPT2 chromatin protein domain containing 1,['Q68D10'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.59e-4'}",0.41
MECOM,ENSG00000085276,MDS1 and EVI1 complex locus,['Q03112'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.59e-4'}",0.50
PRMT5,ENSG00000100462,Protein arginine methyltransferase 5,['O14744'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.61e-4'}",0.16
PYGL,ENSG00000100504,Glycogen phosphorylase L,['P06737'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.63e-4'}",0.38
TMEM123,ENSG00000152558,Transmembrane protein 123,['Q8N131'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.66e-4'}",0.25
FRMD6,ENSG00000139926,FERM domain containing 6,['Q96NE9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.66e-4'}",0.30
ANXA8,ENSG00000265190,Annexin A8,['P13928'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.68e-4'}",0.72
SQLE,ENSG00000104549,Squalene epoxidase,['Q14534'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.73e-4'}",0.32
DHRS9,ENSG00000073737,Dehydrogenase/reductase 9,['Q9BPW9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.73e-4'}",0.66
MMADHC,ENSG00000168288,Metabolism of cobalamin associated D,['Q9H3L0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.73e-4'}",0.18
CCL20,ENSG00000115009,C-C motif chemokine ligand 20,['P78556'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.73e-4'}",0.68
VCL,ENSG00000035403,Vinculin,['P18206'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.75e-4'}",0.25
DDIT4,ENSG00000168209,DNA damage inducible transcript 4,['Q9NX09'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.78e-4'}",0.25
P4HA1,ENSG00000122884,Prolyl 4-hydroxylase subunit alpha 1,['P13674'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.85e-4'}",0.31
TXNRD3,ENSG00000197763,Thioredoxin reductase 3,['Q86VQ6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.86e-4'}",0.47
CTSV,ENSG00000136943,Cathepsin V,['O60911'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.87e-4'}",0.78
TSKU,ENSG00000182704,"Tsukushi, small leucine rich proteoglycan",['Q8WUA8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.87e-4'}",0.41
ZNF148,ENSG00000163848,Zinc finger protein 148,['Q9UQR1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.88e-4'}",0.30
SSH3,ENSG00000172830,Slingshot protein phosphatase 3,['Q8TE77'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.89e-4'}",0.30
PROM2,ENSG00000155066,Prominin 2,['Q8N271'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.90e-4'}",0.58
CDC6,ENSG00000094804,Cell division cycle 6,['Q99741'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.90e-4'}",0.66
MACROD1,ENSG00000133315,Mono-ADP ribosylhydrolase 1,['Q9BQ69'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.90e-4'}",0.54
GJB2,ENSG00000165474,Gap junction protein beta 2,['P29033'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.90e-4'}",0.72
NLRP2,ENSG00000022556,NLR family pyrin domain containing 2,['Q9NX02'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.91e-4'}",0.55
TGM2,ENSG00000198959,Transglutaminase 2,['P21980'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.97e-4'}",0.35
ZBTB7A,ENSG00000178951,Zinc finger and BTB domain containing 7A,['O95365'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.99e-4'}",0.30
DPY19L1,ENSG00000173852,Dpy-19 like C-mannosyltransferase 1,['Q2PZI1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.99e-4'}",0.32
SPAG5,ENSG00000076382,Sperm associated antigen 5,['Q96R06'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.02e-4'}",0.63
OAS1,ENSG00000089127,2'-5'-oligoadenylate synthetase 1,['P00973'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.02e-4'}",0.43
CTNND1,ENSG00000198561,Catenin delta 1,['O60716'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.02e-4'}",0.23
BIRC3,ENSG00000023445,Baculoviral IAP repeat containing 3,['Q13489'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.03e-4'}",0.52
MTPN,ENSG00000105887,Myotrophin,['P58546'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.05e-4'}",0.20
RTF1,ENSG00000137815,"RTF1 homolog, Paf1/RNA polymerase II complex component",['Q92541'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.05e-4'}",0.19
TPM4,ENSG00000167460,Tropomyosin 4,['P67936'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.07e-4'}",0.21
SDCBP2,ENSG00000125775,Syndecan binding protein 2,['Q9H190'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.07e-4'}",0.52
TLR3,ENSG00000164342,Toll like receptor 3,['O15455'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.09e-4'}",0.37
CDK7,ENSG00000134058,Cyclin dependent kinase 7,['P50613'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.09e-4'}",0.26
DDX21,ENSG00000165732,DExD-box helicase 21,['Q9NR30'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.12e-4'}",0.29
OSBPL10,ENSG00000144645,Oxysterol binding protein like 10,['Q9BXB5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.14e-4'}",0.39
TMPRSS4,ENSG00000137648,Transmembrane serine protease 4,['Q9NRS4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.14e-4'}",0.75
TRPS1,ENSG00000104447,Transcriptional repressor GATA binding 1,['Q9UHF7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.16e-4'}",0.54
SERPINB3,ENSG00000057149,Serpin family B member 3,['P29508'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.19e-4'}",0.84
CCDC43,ENSG00000180329,Coiled-coil domain containing 43,['Q96MW1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.19e-4'}",0.41
SLC39A10,ENSG00000196950,Solute carrier family 39 member 10,['Q9ULF5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.23e-4'}",0.50
REPS2,ENSG00000169891,RALBP1 associated Eps domain containing 2,['Q8NFH8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.24e-4'}",0.45
ARHGAP23,ENSG00000275832,Rho GTPase activating protein 23,['Q9P227'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.24e-4'}",0.39
ANKRD50,ENSG00000151458,Ankyrin repeat domain containing 50,['Q9ULJ7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.28e-4'}",0.34
PML,ENSG00000140464,PML nuclear body scaffold,['P29590'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.29e-4'}",0.25
DDX60,ENSG00000137628,DExD/H-box helicase 60,['Q8IY21'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.35e-4'}",0.46
PAK2,ENSG00000180370,P21 (RAC1) activated kinase 2,['Q13177'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.36e-4'}",0.19
HNMT,ENSG00000150540,Histamine N-methyltransferase,['P50135'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.41e-4'}",0.38
PDZK1IP1,ENSG00000162366,PDZK1 interacting protein 1,['Q13113'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.45e-4'}",0.63
STS,ENSG00000101846,Steroid sulfatase,[],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.47e-4'}",0.45
RIPK4,ENSG00000183421,Receptor interacting serine/threonine kinase 4,['P57078'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.48e-4'}",0.62
PIK3C2G,ENSG00000139144,Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma,['O75747'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.50e-4'}",0.75
CNBP,ENSG00000169714,CCHC-type zinc finger nucleic acid binding protein,['P62633'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.51e-4'}",0.21
LMO7,ENSG00000136153,LIM domain 7,['Q8WWI1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.51e-4'}",0.42
CRYBG2,ENSG00000176092,Crystallin beta-gamma domain containing 2,['Q8N1P7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.53e-4'}",0.82
RNF139,ENSG00000170881,Ring finger protein 139,['Q8WU17'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.54e-4'}",0.37
FCF1,ENSG00000119616,FCF1 rRNA-processing protein,['Q9Y324'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.54e-4'}",0.14
NMI,ENSG00000123609,N-myc and STAT interactor,['Q13287'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.54e-4'}",0.37
MAGT1,ENSG00000102158,Magnesium transporter 1,['Q9H0U3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.55e-4'}",0.28
ECM1,ENSG00000143369,Extracellular matrix protein 1,['Q16610'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.55e-4'}",0.56
NDC1,ENSG00000058804,NDC1 transmembrane nucleoporin,['Q9BTX1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.58e-4'}",0.34
KRAS,ENSG00000133703,"KRAS proto-oncogene, GTPase",['P01116'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.59e-4'}",0.23
FANCI,ENSG00000140525,FA complementation group I,['Q9NVI1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.59e-4'}",0.59
MTMR2,ENSG00000087053,Myotubularin related protein 2,['Q13614'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.60e-4'}",0.27
PCDH1,ENSG00000156453,Protocadherin 1,['Q08174'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.61e-4'}",0.36
TPM3,ENSG00000143549,Tropomyosin 3,['P06753'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.65e-4'}",0.46
FA2H,ENSG00000103089,Fatty acid 2-hydroxylase,['Q7L5A8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.74e-4'}",0.75
AFAP1L2,ENSG00000169129,Actin filament associated protein 1 like 2,['Q8N4X5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.76e-4'}",0.49
SKA3,ENSG00000165480,Spindle and kinetochore associated complex subunit 3,['Q8IX90'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.77e-4'}",0.84
PRELID2,ENSG00000186314,PRELI domain containing 2,['Q8N945'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.78e-4'}",0.60
NCKAP1,ENSG00000061676,NCK associated protein 1,['Q9Y2A7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.81e-4'}",0.14
PPP3CA,ENSG00000138814,Protein phosphatase 3 catalytic subunit alpha,['Q08209'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.82e-4'}",0.44
LRRC8A,ENSG00000136802,Leucine rich repeat containing 8 VRAC subunit A,['Q8IWT6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.83e-4'}",0.25
UBN1,ENSG00000118900,Ubinuclein 1,['Q9NPG3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.84e-4'}",0.31
C3orf52,ENSG00000114529,Chromosome 3 open reading frame 52,['Q5BVD1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.85e-4'}",0.67
OXR1,ENSG00000164830,Oxidation resistance 1,['Q8N573'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.85e-4'}",0.23
COL7A1,ENSG00000114270,Collagen type VII alpha 1 chain,['Q02388'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.86e-4'}",0.66
S100A10,ENSG00000197747,S100 calcium binding protein A10,['P60903'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.88e-4'}",0.28
MAML2,ENSG00000184384,Mastermind like transcriptional coactivator 2,['Q8IZL2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.89e-4'}",0.28
BLVRB,ENSG00000090013,Biliverdin reductase B,['P30043'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.90e-4'}",0.34
PKP3,ENSG00000184363,Plakophilin 3,['Q9Y446'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.93e-4'}",0.67
EPPK1,ENSG00000261150,Epiplakin 1,['P58107'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.94e-4'}",0.81
CCDC6,ENSG00000108091,Coiled-coil domain containing 6,['Q16204'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.95e-4'}",0.18
MAL2,ENSG00000147676,"Mal, T cell differentiation protein 2",['Q969L2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.98e-4'}",0.45
CBX3,ENSG00000122565,Chromobox 3,['Q13185'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.00e-4'}",0.18
TM4SF1,ENSG00000169908,Transmembrane 4 L six family member 1,['P30408'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.01e-4'}",0.26
MMP3,ENSG00000149968,Matrix metallopeptidase 3,['P08254'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.09e-4'}",0.79
RIOK3,ENSG00000101782,RIO kinase 3,['O14730'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.10e-4'}",0.38
PLK1,ENSG00000166851,Polo like kinase 1,['P53350'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.12e-4'}",0.68
SYT12,ENSG00000173227,Synaptotagmin 12,['Q8IV01'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.13e-4'}",0.81
KLK11,ENSG00000167757,Kallikrein related peptidase 11,['Q9UBX7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.17e-4'}",0.62
E2F1,ENSG00000101412,E2F transcription factor 1,['Q01094'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.18e-4'}",0.68
RHOV,ENSG00000104140,Ras homolog family member V,['Q96L33'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.19e-4'}",0.73
SDC4,ENSG00000124145,Syndecan 4,['P31431'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.20e-4'}",0.31
NBN,ENSG00000104320,Nibrin,['O60934'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.20e-4'}",0.16
KIFC1,ENSG00000237649,Kinesin family member C1,['Q9BW19'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.21e-4'}",0.72
TMBIM1,ENSG00000135926,Transmembrane BAX inhibitor motif containing 1,['Q969X1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.22e-4'}",0.17
STAT1,ENSG00000115415,Signal transducer and activator of transcription 1,['P42224'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.23e-4'}",0.28
EFNB1,ENSG00000090776,Ephrin B1,['P98172'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.29e-4'}",0.29
CAPN1,ENSG00000014216,Calpain 1,['P07384'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.30e-4'}",0.29
LONRF3,ENSG00000175556,LON peptidase N-terminal domain and ring finger 3,['Q496Y0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.32e-4'}",0.53
ALPP,ENSG00000163283,"Alkaline phosphatase, placental",['P05187'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.33e-4'}",0.94
LAPTM4A,ENSG00000068697,Lysosomal protein transmembrane 4 alpha,['Q15012'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.37e-4'}",0.11
RAB11A,ENSG00000103769,"RAB11A, member RAS oncogene family",['P62491'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.37e-4'}",0.18
TMEM43,ENSG00000170876,Transmembrane protein 43,['Q9BTV4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.38e-4'}",0.20
SMAGP,ENSG00000170545,Small cell adhesion glycoprotein,['Q0VAQ4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.38e-4'}",0.47
BCAR3,ENSG00000137936,"BCAR3 adaptor protein, NSP family member",['O75815'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.38e-4'}",0.31
RPL35A,ENSG00000182899,Ribosomal protein L35a,['P18077'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.43e-4'}",0.14
TRIM29,ENSG00000137699,Tripartite motif containing 29,['Q14134'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.46e-4'}",0.69
UGT1A10,ENSG00000242515,UDP glucuronosyltransferase family 1 member A10,['Q9HAW8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.55e-4'}",0.89
KCNN4,ENSG00000104783,Potassium calcium-activated channel subfamily N member 4,['O15554'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.56e-4'}",0.67
MELK,ENSG00000165304,Maternal embryonic leucine zipper kinase,['Q14680'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.58e-4'}",0.75
PLS3,ENSG00000102024,Plastin 3,['P13797'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.59e-4'}",0.25
LIPH,ENSG00000163898,Lipase H,['Q8WWY8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.59e-4'}",0.68
MUC1,ENSG00000185499,"Mucin 1, cell surface associated",['P15941'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.60e-4'}",0.53
CNIH4,ENSG00000143771,Cornichon family AMPA receptor auxiliary protein 4,['Q9P003'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.61e-4'}",0.16
CXCL10,ENSG00000169245,C-X-C motif chemokine ligand 10,['P02778'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.61e-4'}",0.57
RAB7A,ENSG00000075785,"RAB7A, member RAS oncogene family",['P51149'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.63e-4'}",0.16
CXCL17,ENSG00000189377,C-X-C motif chemokine ligand 17,['Q6UXB2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.63e-4'}",0.76
MSH2,ENSG00000095002,MutS homolog 2,['P43246'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.63e-4'}",0.33
OAS2,ENSG00000111335,2'-5'-oligoadenylate synthetase 2,['P29728'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.63e-4'}",0.49
VRK2,ENSG00000028116,VRK serine/threonine kinase 2,['Q86Y07'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.65e-4'}",0.20
ARPC3,ENSG00000111229,Actin related protein 2/3 complex subunit 3,['O15145'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.67e-4'}",0.21
SNX6,ENSG00000129515,Sorting nexin 6,['Q9UNH7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.68e-4'}",0.18
ASAP2,ENSG00000151693,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",['O43150'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.68e-4'}",0.41
KCTD3,ENSG00000136636,Potassium channel tetramerization domain containing 3,['Q9Y597'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.71e-4'}",0.24
TMEM41A,ENSG00000163900,Transmembrane protein 41A,['Q96HV5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.72e-4'}",0.26
NCBP2,ENSG00000114503,Nuclear cap binding protein subunit 2,['P52298'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.75e-4'}",0.10
KIF13B,ENSG00000197892,Kinesin family member 13B,['Q9NQT8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.77e-4'}",0.55
PAIP1,ENSG00000172239,Poly(A) binding protein interacting protein 1,['Q9H074'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.79e-4'}",0.18
PLS1,ENSG00000120756,Plastin 1,['Q14651'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.84e-4'}",0.66
UBE2L6,ENSG00000156587,Ubiquitin conjugating enzyme E2 L6,['O14933'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.88e-4'}",0.19
C6orf132,ENSG00000188112,Chromosome 6 open reading frame 132,['Q5T0Z8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.90e-4'}",0.68
EIF2S1,ENSG00000134001,Eukaryotic translation initiation factor 2 subunit alpha,['P05198'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.97e-4'}",0.19
MPZL3,ENSG00000160588,Myelin protein zero like 3,['Q6UWV2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.98e-4'}",0.53
AADAC,ENSG00000114771,Arylacetamide deacetylase,['P22760'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.02e-4'}",0.84
WDR76,ENSG00000092470,WD repeat domain 76,['Q9H967'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.02e-4'}",0.58
FGFBP1,ENSG00000137440,Fibroblast growth factor binding protein 1,['Q14512'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.03e-4'}",0.81
C19orf33,ENSG00000167644,Chromosome 19 open reading frame 33,['Q9GZP8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.05e-4'}",0.54
ITGAV,ENSG00000138448,Integrin subunit alpha V,['P06756'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.07e-4'}",0.24
PLK4,ENSG00000142731,Polo like kinase 4,['O00444'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.14e-4'}",0.72
CLDN1,ENSG00000163347,Claudin 1,['O95832'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.23e-4'}",0.53
PRIM2,ENSG00000146143,DNA primase subunit 2,['P49643'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.25e-4'}",0.48
HTR1D,ENSG00000179546,5-hydroxytryptamine receptor 1D,['P28221'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.30e-4'}",0.91
SRFBP1,ENSG00000151304,Serum response factor binding protein 1,['Q8NEF9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.31e-4'}",0.22
IL15RA,ENSG00000134470,Interleukin 15 receptor subunit alpha,['Q13261'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.35e-4'}",0.38
